,School,Date,Item,Remarks,
,Appletree,Pre 1939,[5/14666.2],Administrative file,
,Apsley,Pre 1939,[5/14666.5],Administrative file,
,Apsley Grange,Pre 1939,[5/14666.6],Administrative file,
,Arable,Pre 1939,[5/14666.7],Administrative file,
,Arajoel,-,[5/18285],Proposed school,
,Arakoon,Pre 1939,[5/14667.1],Administrative file,
,Araluen,Post 1939,[14/7255],Administrative file,
,Araluen,1876-1908,[5/14667.2],Administrative file,
,Araluen,1908-1937,[5/14668.1],Administrative file,
,Araluen Lower,Post 1939,[14/7255],Administrative file,
,Araluen Lower,Pre 1939,[5/14668.3],Administrative file,
,Araluen R.C.,Pre 1939,[5/14668.2],Administrative file,
,Araluen Upper,Pre 1939,[5/14668.4],Administrative file,
,Araluen West,Pre 1939,[5/14668.5],Administrative file,
,Aramagong,1888-1923,[5/14669.1],Administrative file,
,Arandin,Pre 1939,[5/14669.2],Administrative file,
,Arcadia (1) - (2),1889-1918,[5/14669.3],Administrative file,
,Arcadia (1) - (2),1918-1939,[5/14670.1],Administrative file,
,Arcadia (2),21.10.1895-15.7.1969,[1/4497],Punishment Book,
,Arcadia (2),30.8.1927-14.3.1954,[1/4498],Observation book,
,Arcadia (2),25.10.1905-4.8.1926,[1/4499],Observation book,
,Arcadia (2),18.6.1894-7.2.1956,[1/4500],Visitors' book,
,Arcadia (2),13.11.1894-29.11.1955,[1/4501],Admission register,
,Arcadia (2),Post 1939,[14/7255],Administrative file,
,Arcadia North,-,[5/18285],Proposed school,
,Arcadia Vale,Post 1939,[14/7255],Administrative file,
,Archerfield,-,[5/18285],Proposed school,
,Archers Flat,-,[5/18285],Proposed school,
,Ardell,Pre 1939,[5/14670.2],Administrative file,
,Ardglen,2.6.1962-22.4.1965,[1/5179],Visitors' book,
,Ardglen,3.8.1914-21.4.1962,[1/5245],Visitors' book,
,Ardglen,31.8.1914-22.4.1965,[1/5317],Punishment book,
,Ardglen,19.8.1931-8.3.1965,[1/5318],Admission register,
,Ardglen,Pre 1939,[5/14670.3],Administrative file,
,Arding,Post 1939,[14/7256],Administrative file,
,Arding,Pre 1939,[5/14671.1],Administrative file,
,Ardlethan,Post 1939,[14/7256],Administrative file,
,Ardlethan,1909-1930,[5/14671.2],Administrative file,
,Ardlethan,1930-1939,[5/14672.1],Administrative file,
,Ardlethan Tin Mines,Post 1939,[14/7256],Administrative file,
,Ardlethan Tin Mines,Pre 1939,[5/14672.2],Administrative file,
,Ardnaclack,Pre 1939,[5/14672.3],Administrative file,
,Argalong,Post 1939,[14/7256],Administrative file,
,Argalong,1909-1931,[5/14672.4],Administrative file,
,Argalong,1931-1939,[5/14673.1],Administrative file,
,Argenton,Pre 1939,[5/14673.2],Administrative file,
,Argenton (2),Post 1939,[14/7256],Administrative file,
,Argenton (2),30.1.1951-20.4.1960,[1/4981],Admission register,
,Argenton (2),14.3.1951-9.12.1960,[1/4982],Visitors' book,
,Argenton (2),1965,[1/4983],Programme and lesson register,
,Argenton (2),1966,[1/4984],Programme and lesson register,
,Argents Hill,Post 1939,[14/7256],Administrative file,
,Argents Hill,Pre 1939,[5/14673.3],Administrative file,
,Argoon,Post 1939,[14/7256],Administrative file,
,Argoon,Pre 1939,[5/14674.1],Administrative file,
,Argyle,Pre 1939,[5/14674.2],Administrative file,
,Argyle East,Pre 1939,[5/14674.3],Administrative file,
,Ariah Park,Post 1939,[14/7256],Administrative file,
,Ariah Park,1898-1911,[5/14674.4],Administrative file,
,Ariah Park,1911-1939,[5/14675],Administrative file,
,Arina,Pre 1939,[5/14676.1],Administrative file,
,Arkell,Pre 1939,[5/14676.2],Administrative file,
,Arkstone,Pre 1939,[5/14676.3],Administrative file,
,Armatree,8.2.1940-27.3.1962,[1/4624],Visitors' book,
,Armatree,7.11.1932-14.12.1944,[1/4625],Observation book,
,Armatree,1949-1970,[1/6958],Observation book,
,Armatree,1962-1970,[1/6959],Visitors' book,
,Armatree,1949-1970,[1/6960],Punishment Book,
,Armatree,1938-1970,[1/6961],Admission register,
,Armatree,Post 1939,[14/7256],Administrative file,
,Armatree,Pre 1939,[5/14677],Administrative file,
,Armidale,1876-1896,[5/14678],Administrative file,
,Armidale,1897-1909,[5/14679],Administrative file,
,Armidale,1909-1918,[5/14680],Administrative file,
,Armidale,1918-1927,[5/14681],Administrative file,
,Armidale,1928-1932,[5/14682],Administrative file,
,Armidale,1932-1939,[5/14683.1],Administrative file,
,Armidale (suburban),-,[5/18285],Proposed school,
,Armidale City,Post 1939,[14/7257],Administrative file,
,Armidale Creek,-,[5/18285],Proposed school,
,Armidale High,1931-1935,[1/5893],Newspaper clippings of school  activities,
,Armidale High,1950-1958,[1/5894],Observation book,
,Armidale High,1936-1948,[1/5895],Observation book,
,Armidale High,1914-1935,[1/5896],Observation book,
,Armidale High,1954-1961,[1/5897],"Minute  book, P & C Association",
,Armidale High,Post 1939,[14/7258],Administrative file,
,Armidale High,1916-1932,[5/14684],Administrative file,
,Armidale High,1932-1939,[5/14685],Administrative file,
,Armidale High,1955,[1/5867],Programme lesson and register,
,Armidale High,1965,[1/5868],Programme lesson and register,
,Armidale High,1965,[1/5869],Programme lesson and register,
,Armidale High,1965,[1/5870],Programme lesson and register,
,Armidale High,1965-1966,[1/5871],Programme lesson and register,
,Armidale High,1965-1966,[1/5872],Programme lesson and register,
,Armidale High,1965-1966,[1/5873],Programme lesson and register,
,Armidale High,1965,[1/5874],Programme lesson and register,
,Armidale High,1966,[1/5875],Programme lesson and register,
,Armidale High,1966-1967,[1/5876],Programme lesson and register,
,Armidale High,1966,[1/5877],Programme lesson and register,
,Armidale High,1966,[1/5878],Programme lesson and register,
,Armidale High,1966,[1/5879],Programme lesson and register,
,Armidale High,1966,[1/5880],Commerce Department mark book,
,Armidale High,1966,[1/5881],Programme lesson and register,
,Armidale High,1967,[1/5882],Programme lesson and register,
,Armidale High,1967,[1/5883],Programme lesson and register,
,Armidale High,1967,[1/5884],Programme lesson and register,
,Armidale High,1967,[1/5885],Programme lesson and register,
,Armidale High,1966-1967,[1/5886],Programme lesson and register,
,Armidale High,1920-1990,[NRS 16905],Admission register,
,Armidale R.C.,Pre 1939,[5/14683.2],Administrative file,
,Armidale West,Post 1939,[14/7258],Administrative file,
,Armidale West,1885-1932,[5/14686],Administrative file,
,Armidale West,1932-1939,[5/14687.1],Administrative file,
,Armoy,Pre 1939,[5/14687.2],Administrative file,
,Arncliffe,Post 1939,[14/7259],Administrative file,
,Arncliffe,1883-1906,[5/14688],Administrative file,
,Arncliffe,1906-1913,[5/14689],Administrative file,
,Arncliffe,1913-1919,[5/14690],Administrative file,
,Arncliffe,1920-1927,[5/14691],Administrative file,
,Arncliffe,1928-1931,[5/14692],Administrative file,
,Arncliffe,1932-1935,[5/14693],Administrative file,
,Arncliffe,1936-1939,[5/14694],Administrative file,
,Arncliffe Girls High,Post 1939,[14/7259],Administrative file,
,Arncliffe Girls High School,1965-1975,[NRS 17057],Register of Admission,
,Arncliffe Public School,1917-1964,NRS 20754,Admission Register,
,Arncliffe West,Post 1939,[14/7259],Administrative file,
,Arncliffe West,1903-1931,[5/14695],Administrative file,
,Arncliffe West,1931-1939,[5/14696.1],Administrative file,
,Arndell,Post 1939,[14/7259],Administrative file,
,Arrawatta,Pre 1939,[5/14696.2],Administrative file,
,Artarmon,Post 1939,[14/7260],Administrative file,
,Artarmon,1909-1923,[5/14697],Administrative file,
,Artarmon,1923-1932,[5/14698],Administrative file,
,Artarmon,1932-1939,[5/14699],Administrative file,
,Arthur Phillip High,Post 1939,[14/7260],Administrative file,
,Arthurs Lee,Pre 1939,[5/14700.1],Administrative file,
,Arthurs Seat,Pre 1939,[5/14700.2],Administrative file,
,Arthurville,1932-1970,[1/8226],Admission register,
,Arthurville,1932-1969,[1/8227],Observation book,
,Arthurville,1945-1970,[1/8228],Visitors' book,
,Arthurville,1945-1970,[1/8229],Punishment Book,
,Arthurville,Pre 1939,[5/14700.3],Administrative file,
,Ash Bridge,Pre 1939,[5/14701.1],Administrative file,
,Ash Island,Post 1939,[14/7263],Administrative file,
,Ash Island,Pre 1939,[5/14715],Administrative file,
,Ashbury,Post 1939,[14/7260],Administrative file,
,Ashbury,1927-1931,[5/14702],Administrative file,
,Ashbury,1932-1939,[5/14703],Administrative file,
,Ashby,Pre 1939,[5/14701.2],Administrative file,
,Ashcroft,Post 1939,[14/7260],Administrative file,
,Ashcroft High,Post 1939,[14/7261],Administrative file,
,Ashcroft Primary,13.09.1962 - 07.12.1965,[1/4306],"Admission register
 Admission register",
,Ashfield,1876-1896,[5/14704],Administrative file,
,Ashfield,1896-1904,[5/14705],Administrative file,
,Ashfield,1904-1913,[5/14706],Administrative file,
,Ashfield,1913-1918,[5/14707],Administrative file,
,Ashfield,1919-1923,[5/14708],Administrative file,
,Ashfield,1923-1927,[5/14709],Administrative file,
,Ashfield,1928-1931,[5/14710],Administrative file,
,Ashfield,1932-1935,[5/14711],Administrative file,
,Ashfield,1936-1939,[5/14712],Administrative file,
,Ashfield,1942-1949,[14/7261],Administrative file,
,Ashfield,1952-1975,[14/7562],Administrative file,
,Ashfield (near Boomi),-,[5/18285],Proposed school,
,Ashfield Boys High,Post 1939,[14/7262],Administrative file,
,Ashfield C of E,Pre 1939,[5/14713.1],Administrative file,
,Ashfield South,Pre 1939,[5/14713.2],Administrative file,
,Ashford,Post 1939,[14/7263],Administrative file,
,Ashford,Pre 1939,[5/14714],Administrative file,
,Ashlea,Pre 1939,[5/14716.1],Administrative file,
,Ashley,24.04.1913 - 06.02.1968,[1/8736],Admission register,
,Ashley,16.11.1916 - 25.08.1965,[1/8737],Punishment book,
,Ashley,18.06.1946 - 26.04.1967,[1/8738],Observation book,
,Ashley,Post 1939,[14/7263],Administrative file,
,Ashley,Pre 1939,[5/14716.2],Administrative file,
,Ashmont,Post 1939,[14/7263],Administrative file,
,Ashton Villa,-,[5/18285],Proposed school,
,Ashville,1922 - 1967,[1/10335],Visitors’ book,
,Ashville,1962 - 1966,[1/10336],Stock book,
,Ashville,1964 - 1966,[1/10337],Punishment book,
,Ashville,1965,[1/10338],Punishment book,
,Ashville,1937 - 1966,[1/10339],Observation book,
,Ashville,31.01.1967 - 11.05.1967,[1/10340],Class roll,
,Ashville,28.08.1918 - 02.02.1966,[1/10341],Admission register,
,Ashville,Post 1939,[14/7264],Administrative file,
,Ashville,Pre 1939,[5/14716.3],Administrative file,
,Asquith,1963,[1/10646],Programme & Lesson register,
,Asquith,1964,[1/10647],Programme & Lesson register (2nd Grade),
,Asquith,1964,[1/10648],Programme & Lesson register (5th Grade),
,Asquith,1966,[1/10649],Programme & Lesson register,
,Asquith,1967,[1/10650],Programme & Lesson register,
,Asquith,1968,[1/10651],Programme & Lesson register (3rd Grade),
,Asquith,1968,[1/10652],Programme & Lesson register (4th Grade),
,Asquith,1969,[1/10653],Programme & Lesson register,
,Asquith,1970,[1/10654],Programme & Lesson register,
,Asquith,1971,[1/10655],Programme & Lesson register,
,Asquith,1966-1970,[1/10656],Examination book (5th Grade),
,Asquith,1966-1970,[1/10657],Examination book (6th Grade),
,Asquith,Post 1939,[14/7264],Administrative file,
,Asquith,Pre 1939,[5/14717.1],Administrative file,
,Asquith Boys High,Post 1939,[14/7264],Administrative file,
,Asquith Girls High,Post 1939,[14/7265],Administrative file,
,Astaroth,Pre 1939,[5/14717.2],Administrative file,
,Aston,-,[5/18285],Proposed school,
,Athelstone,Post 1939,[14/7265],Administrative file,
,Athelwood,Post 1939,[14/7265],Administrative file,
,Atherton,Pre 1939,[5/14717.3],Administrative file,
,Athol,-,[5/18285],Proposed school,
,Atholwood,27.10.1949 - 20.11.1951,[1/8726],Punishment book,
,Atholwood,17.05.1949 - 03.02.1959,[1/8727],Admission register,
,Atholwood,1949 - 1952,[1/9466],Stock book,
,Atholwood,Pre 1939,[5/14717.4],Administrative file,
,Attunga,Post 1939,[14/7265],Administrative file,
,Attunga,1877-1922,[5/14718],Administrative file,
,Attunga,1922-1939,[5/14719.1],Administrative file,
,Attunga Springs,Post 1939,[14/7265],Administrative file,
,Attunga Springs,Pre 1939,[5/14719.2],Administrative file,
,Auburn,Post 1939,[14/7266],Administrative file,
,Auburn,1884-1906,[5/14720],Administrative file,
,Auburn,1907-1918,[5/14721],Administrative file,
,Auburn,1918-1919,[5/14722],Administrative file,
,Auburn,1919-1921,[5/14723],Administrative file,
,Auburn,1922-1925,[5/14724],Administrative file,
,Auburn,1926-1929,[5/14725],Administrative file,
,Auburn,1930-1932,[5/14726],Administrative file,
,Auburn,1933-1935,[5/14727],Administrative file,
,Auburn,1936-1939,[5/14728],Administrative file,
,Auburn Girls High,Post 1939,[14/7266],Administrative file,
,Auburn North,Post 1939,[14/7266],Administrative file,
,Auburn North,1889-1919,[5/14729],Administrative file,
,Auburn North,1919-1928,[5/14730],Administrative file,
,Auburn North,1928-1934,[5/14731],Administrative file,
,Auburn North,1934-1939,[5/14732],Administrative file,
,Auburn North,1934-1939,[5/14733.1],Administrative file,
,Auburn Vale,Pre 1939,[5/14733.2],Administrative file,
,Auburn Vale East,-,[5/18285],Proposed school,
,Auburn West,Post 1939,[14/7266],Administrative file,
,Auburn West,1927-1934,[5/14733.3],Administrative file,
,Auburn West,1935-1939,[5/14734.1],Administrative file,
,Audley,Pre 1939,[5/14734.2],Administrative file,
,Austinmer,Post 1939,[14/7267],Administrative file,
,Austinmer,1896-1936,[5/14735],Administrative file,
,Austinmer,1936-1939,[5/14736.1],Administrative file,
,Austral,Post 1939,[14/7267],Administrative file,
,Austral,Pre 1939,[5/14736.2],Administrative file,
,Austral Eden,08.10.1920 - 09.08.1963,[1/8749],Visitors’ book,
,Austral Eden,08.10.1920 - 26.07.1934,[1/8750],Observation book,
,Austral Eden,23.10.1936 - 11.03.1963,[1/8751],Observation book,
,Austral Eden,06.10.1920 - 29.01.1963,[1/8752],Admission register,
,Austral Eden,14.02.1921 - 02.03.1961,[1/8753],Punishment book,
,Austral Eden,Post 1939,[14/7267],Administrative file,
,Austral Eden,Pre 1939,[5/14737.1],Administrative file,
,Australia Street,Post 1939,[14/7267],Administrative file,
,Australia Street,1887-1917,[5/14738],Administrative file,
,Australia Street,1917-1939,[5/14739.1],Administrative file,
,Australian Farm,Pre 1939,[5/14737.2],Administrative file,
,Avalon,1953-971,[14/7268],Administrative file,
,Avalon,Pre 1939,[5/14739.2],Administrative file,
,Avalon,1950-1952,[14/7267],Administrative file,
,Avenal,Pre 1939,[5/14740.1],Administrative file,
,Averhill,Post 1939,[14/7268],Administrative file,
,Averhill,Pre 1939,[5/14740.2],Administrative file,
,Aviemore,Pre 1939,[5/14740.3],Administrative file,
,Avisford,Post 1939,[14/7268],Administrative file,
,Avisford,Pre 1939,[5/14741.1],Administrative file,
,Avoca (1),Pre 1939,[5/14741.2],Administrative file,
,Avoca Beach,Post 1939,[14/7269],Administrative file,
,Avoca Beach,Pre 1939,[5/14742.1],Administrative file,
,Avoca Vale,Pre 1939,[5/14742.2],Administrative file,
,Avon Dam,Pre 1939,[5/14743.2],Administrative file,
,Avon Dam No. 2,Pre 1939,[5/14743.3],Administrative file,
,Avon River,-,[5/18285],Proposed school,
,Avon Upper,-,[5/18285],Proposed school,
,Avondale,1876-1911,[5/14742.3],Administrative file,
,Avondale,1912-1939,[5/14743.1],Administrative file,
,Avonside,Pre 1939,[5/14743.4],Administrative file,
,Awaba,Pre 1939,[5/14744.1],Administrative file,
,Awaba (2),Post 1939,[14/7269],Administrative file,
,Awabakal Field Studies Centre,Post 1939,[14/7269],Administrative file,
,Aylmerton,Post 1939,[14/7269],Administrative file,
,Aylmerton,Pre 1939,[5/14744.2],Administrative file,
,Baan Baa,Pre 1939,[5/14745],Administrative file,
,Back Creek,1956 - 1963,[1/8722],Admission register,
,Back Creek,21.11.1956 - 24.09.1963,[1/8723],Observation book,
,Back Creek,08.06.1956 - 05.10.1960,[1/8724],Visitors’ book,
,Back Creek,1960 - 1963,[1/8725],Punishment book,
,Back Creek (1) - (4),Pre 1939,[5/14746],Administrative file,
,Back Creek (4),Post 1939,[14/7269],Administrative file,
,Back Paddock,Pre 1939,[5/14747.2],Administrative file,
,Back Station Creek,Pre 1939,[5/14747.3],Administrative file,
,Back Swamp,-,[5/18285],Proposed school,
,Back Yamma,1938 - 1958,[1/7514],Visitors’ book,
,Back Yamma,1942 - 1958,[1/7515],Observation book,
,Back Yamma,1937 - 1958,[1/7516],Admission register,
,Back Yamma,Post 1939,[14/7269],Administrative file,
,Back Yamma,Pre 1939,[5/14748.2],Administrative file,
,Backmede,11.03.1901 - 11.12.1969,[1/4007],Punishment book,
,Backmede,10.06.1942 - 15.11.1966,[1/4008],Observation book,
,Backmede,09.08.1939 - 11.12.1969,[1/4009],Visitors’ book,
,Backmede,1968,[1/4011],Stock book,
,Backmede,27.01.1926 - 23.06.1969,[1/4012],Admission register,
,Backmede,Post 1939,[14/7269],Administrative file,
,Backmede,Pre 1939,[5/14747.1],Administrative file,
,Backwater,Pre 1939,[5/14748.1],Administrative file,
,Backwater,27.01.1914 - 15.11.1967,[1/8745],Visitors’ book,
,Backwater,31.10.1950 - 20.06.1967,[1/8746],Observation book,
,Backwater,15.10.1931 - 06.10.1965,[1/8747],Punishment book,
,Backwater,07.10.1889 - 25.10.1967,[1/8748],Admission register,
