,Place,Description,Date,Copy,Page,Citation,Remarks,RecordType,
,Albury,"Court House. Plans, elevations and sections for proposed District Court House",July 1859,-,-,4335 [Plan 636],Colonial Architect Plan No. PC9/15,"Appendix B: Architectural Plans, 1848-1967",
,Albury,Court House. Plans and sections of building showing repairs,July 1879,-,-,4335 [Plan 638],Colonial Architect Plan No. PC/19. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Albury,"Court House. Plan of repairs, painting etc. required",June 1892,-,-,4335 [Plan 639],Colonial Architect Plan No. PC9/22. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Albury,War Memorial,c.1923,-,49,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Albury,Court House. Plan of dwarf wall iron railing and gates facing Dean Street,August 1883,-,-,4335 [Plan 640],Colonial Architect Plan No. PC9/25. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Albury,Gaol. Plan of additions to Gaoler’s Quarters,25 February 1892,-,-,4335 [Plan 634],Colonial Architect Plan No. PC9/4. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Albury,"Survey and Lands Office. Plans, elevations and section of proposed building, showing telegraph station",1878,-,-,4335 [Plan 1727],Colonial Architect Plan No. 78/158 (1088 124),"Appendix B: Architectural Plans, 1848-1967",
,Albury,Court House,1853-65,-,-,4332 [2/574],-,"Appendix A: Correspondence, c.1837-96",
,Albury,Customs House,1854,-,-,4332 [2/574],-,"Appendix A: Correspondence, c.1837-96",
,Albury,Telegraph Station,1859-65,-,-,4332 [2/635],-,"Appendix A: Correspondence, c.1837-96",
,Albury,Watch House,1854-55,-,-,4332 [2/574],-,"Appendix A: Correspondence, c.1837-96",
,Albury,Post and Telegraph Office,1880,-,148,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Annandale,"War Memorial, sketch",1922,-,57,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Annandale,Proposed War Memorial,c.1921,-,39,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Annandale,Toll House,-,-,-,4332 [2/648],various dates,"Appendix A: Correspondence, c.1837-96",
,Annandale,Toll House repairs,1850-53,-,-,4332 [***],-,"Appendix A: Correspondence, c.1837-96",
,Annandale,Post Office,-,-,18,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Annandale,Police Station,-,-,215,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Appin,Lock-up (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,Appin,Lock-up,"1853, 1861, 1865",-,-,4332 [2/577],-,"Appendix A: Correspondence, c.1837-96",
,Araluen,Court and Watch House,1860-65,-,-,4332 [2/577],-,"Appendix A: Correspondence, c.1837-96",
,Araluen,Police Station,"1861-62, 1864",-,-,4332 [2/577],-,"Appendix A: Correspondence, c.1837-96",
,Armidale,Memorial Fountain,c.1921,-,16-17,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Armidale,Memorial Fountain (photograph),-,-,66,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Armidale,"Soldiers’ War Memorial, Competitive design",c.1921,-,66?,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Armidale,"Court House. Details of fittings.  Plan, sections and elevations",16 February 1898,-,-,4335 [Plan 642],Colonial Architect Plan No. PC17/19. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Armidale,Court House. Proposed alterations and additions to District Court House.  Plan and elevation,9 December 1881,-,-,4335 [Plan 643],Colonial Architect Plan No. PC17/22,"Appendix B: Architectural Plans, 1848-1967",
,Armidale,Court House. Block plan of Court House and Lock-up,1884,-,-,4335 [Plan 644],Colonial Architect Plan No. PC17/24,"Appendix B: Architectural Plans, 1848-1967",
,Armidale,Court House. Plan and elevations of District Court House,1889,-,-,4335 [Plan 645],Colonial Architect Plan No. PC17/25,"Appendix B: Architectural Plans, 1848-1967",
,Armidale,Court House. Clock and Bell Turret,1878,-,-,4335 [Plan 646],Colonial Architect Plan No. PC17/26,"Appendix B: Architectural Plans, 1848-1967",
,Armidale,"Court House. Site Plan, sections and elevations of dry closets, Judge’s closets, Court officers and Jury closets and public closets and urinals",-,-,-,4335 [Plan 647],Colonial Architect Plan No. PC17/27,"Appendix B: Architectural Plans, 1848-1967",
,Armidale,"Court House. Sections and elevations, and elevation of carriage gates",-,-,-,4335 [Plan 648],Colonial Architect Plan No. PC17/28,"Appendix B: Architectural Plans, 1848-1967",
,Armidale,Court House. Section and elevation of detail of gates,16 August 1897,-,-,4335 [Plan 649],Colonial Architect Plan No. PC17/30,"Appendix B: Architectural Plans, 1848-1967",
,Armidale,Court House. Section and elevation of clock and turret,5 January 1899,-,-,4335 [Plan 650],Colonial Architect Plan No. PC17/31. Signature of architect (McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Armidale,"Court House. Plan, front elevation and sections",-,-,-,4335 [Plan 651],Colonial Architect Plan No. PC17/32,"Appendix B: Architectural Plans, 1848-1967",
,Armidale,"Court House. Ground plan, sections and elevations of the old Lock-up when converted to Court House caretaker’s quarters",20 September 1886,-,-,4335 [Plan 652],Colonial Architect Plan No. PC17/33,"Appendix B: Architectural Plans, 1848-1967",
,Armidale,New England University - Science Block,-,-,131,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Armidale,Gaol,1860-62,-,-,4332 [2/575],-,"Appendix A: Correspondence, c.1837-96",
,Armidale,Lock-up and Court House,"1853, 1859-60, 1864-66",-,-,4332 [2/575],-,"Appendix A: Correspondence, c.1837-96",
,Armidale,Police Barracks,1862,-,-,4332 [2/575],-,"Appendix A: Correspondence, c.1837-96",
,Armidale,Police Station,1858-59,-,-,4332 [2/575],-,"Appendix A: Correspondence, c.1837-96",
,Armidale,Post and Telegraph Office,1862-65,-,-,4332 [2/575],-,"Appendix A: Correspondence, c.1837-96",
,Armidale West,"Lock-up. Proposed plan, sections and elevations, and site plan",1884,-,-,4335 [Plan 641],Colonial Architect Plan No. PC17/1,"Appendix B: Architectural Plans, 1848-1967",
,Ashfield,Fencing - Training School site,1878,-,-,4338 [X14],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Ashfield,Proposed Soldiers’ Memorial,c.1921,-,26,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Ashfield,"Lock-up. Plans, sections and elevations, and site plan",-,-,-,4335 [Plan 653],Colonial Architect Plan No. PC20/6,"Appendix B: Architectural Plans, 1848-1967",
,Ashford,Lock-up,1864-66,-,-,4332 [2/577],-,"Appendix A: Correspondence, c.1837-96",
,"Ashford, Frasers Creek","Lock-up. Ground plan, elevations and section",1864,-,-,4335 [Plan 654],Colonial Architect Plan No. PC21/2. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Auburn,Auburn West Public School,-,-,182(a)-182,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Ballina,Customs House,1862-64,-,-,4332 [2/636],-,"Appendix A: Correspondence, c.1837-96",
,Ballina,Court and Watch House,"1859, 1862-66",-,-,4332 [2/636],-,"Appendix A: Correspondence, c.1837-96",
,Balmain,Watch House,"1852-55, 1864",-,-,4332 [2/636],-,"Appendix A: Correspondence, c.1837-96",
,Balmain,"Watch House, Plan & Specifications",1854,-,-,4332 [2/644],"(In Watch Houses, general bundle)","Appendix A: Correspondence, c.1837-96",
,Balmain,Waterman’s Stairs,1852,-,-,4332 [2/644],-,"Appendix A: Correspondence, c.1837-96",
,Balmain,Court House and Post and Telegraph Office. Ground plan and elevations,-,-,-,4335 [Plan 655],Colonial Architect Plan No. PC25/6,"Appendix B: Architectural Plans, 1848-1967",
,Balmain,Court House and Post and Telegraph Office. Elevations and sections,-,-,-,4335 [Plan 656],Colonial Architect Plan No. PC25/7,"Appendix B: Architectural Plans, 1848-1967",
,Balmain,"Court House and Post and Telegraph Office. First floor plan, roof plan and sections and elevation",-,-,-,4335 [Plan 657],Colonial Architect Plan No. PC25/8,"Appendix B: Architectural Plans, 1848-1967",
,Balmain,Post Office and Court House,-,-,82,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,"Balmain, West",Post Office,-,-,"83, 88",4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Balranald,Court and Watch House,1860-64,-,-,4332 [2/578],-,"Appendix A: Correspondence, c.1837-96",
,Balranald,Police Office,1860,-,-,4332 [2/578],-,"Appendix A: Correspondence, c.1837-96",
,Balranald,"Lock-up. Additions. Ground plan, sections and elevations",1889,-,-,4335 [Plan 658],Colonial Architect Plan No. PC27/5,"Appendix B: Architectural Plans, 1848-1967",
,Balranald,Post Office,-,-,223,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Bankstown,Public School and Teacher’s Residence,1879,-,-,4338 [X14],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Baradine,Forestry administration building,-,-,151,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Bargo,Bridge,1854-55,-,-,4332 [2/636],-,"Appendix A: Correspondence, c.1837-96",
,Bargo,Watch House,1853-61,-,-,4332 [2/636],-,"Appendix A: Correspondence, c.1837-96",
,Bargo,Lock-up (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,Barmedman,Soldiers’ Memorial,1921,-,48,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Barraba,Police station,-,-,19,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Bathurst,"Gaol. Watch Towers, Tanks, Stabling.  Plan, sections and elevations",1883,-,-,4335 [Plan 673],Colonial Architect Plan No. PC35/015,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,"Hospital, additions",1943,-,157,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Bathurst,"Gaol. Hospital for male prisoners.  Plans, sections and elevations",-,-,-,4335 [Plan 674],Colonial Architect Plan No. PC35/016,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,"Old Court House, demolished 1875",-,-,149,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Bathurst,Gaol. General Plan,-,-,-,4335 [Plan 675],Colonial Architect Plan No. PC35/017,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,Presbyterian Church,-,-,148,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Bathurst,Gaol. Electric Light Installation.  Plan showing position of new boiler and engine,1895,-,-,4335 [Plan 676],Colonial Architect Plan No. PC35/018,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,Walter McPhillamy Park,-,-,150,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Bathurst,"Gaol. Proposed workshops for marble industry, showing ground plan, sections and elevation",1894,-,-,4335 [Plan 677],Colonial Architect Plan No. PC35/019,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,"Gaol. Part of proposed workshops.  Plan, elevation and sections",1898,-,-,4335 [Plan 678],Colonial Architect Plan No. PC35/020,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,"Gaol. Plan showing drainage system, gas and water supply",1884,-,-,4335 [Plan 686],Colonial Architect Plan No. PC35/32,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,"Gaol. Plan showing drains, gas and water supply",n.d.,-,-,4335 [Plan 2216],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,Court House,"1848-51, 1855-66",-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,"Gaol. Copy of AO Plan 2216, traced in 1962",-,-,-,4335 [Plan 2218],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,"Denison Bridge, over Macquarie River","1848, 1853-66",-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,"Police Buildings. Ground Plan, roof plan and layout of surrounds",-,-,-,4335 [Plan 681],Colonial Architect Plan No. PC35/023,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,District Survey Office,1863,-,-,4332 [2/634],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,"Police Superintendents Quarters.  Back, front and side elevations, cross section.  Erected 1878",-,-,-,4335 [Plan 682],Colonial Architect Plan No. PC35/024,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,Everett and Stephens: Work in Bathurst area,1862,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,"Public Buildings. Proposed additions.  Plans, sections and elevation",1881,-,-,4335 [Plan 1733],Colonial Architect Plan No. 81/814,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,Gaol,1846-58,-,-,4332 [2/634],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,"Telegraph Station. Plan, elevations and sections.  With pencil annotations",1898,-,-,4335 [Plan 662],Colonial Architect Plan No. PC35/04,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,Gaol,1857-66,-,-,4332 [2/634],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Gold Office,1852-53,-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Immigration Depot,1850,-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Jordan Creek Bridge,1855-56,-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Gravelling - Public School,1878,-,-,4338 [X14],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Bathurst,"Court House. The plans are numbered 369, 371 and bear the Colonial Architect’s stamp",-,-,-,4335 [Plans 2357-2357] (369-371),Mitchell Library No. XVIB BATH 1,Appendix G: Archival estrays in the Mitchell Library including those transferred to the Archives Office,
,Bathurst,Mounted Patrol Station,1850-56,-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,"Mitchell College of Advanced Education. Students’ Residence ‘A’.  Winner of Sulman Award, 1970.  Designed by Edwards, Madigan, Torzillo and Briggs in conjunction with E.H. Farmer, Government Architect.  Pre-1970 14 blue/white negatives of plans, sec",1897,-,-,4335 [Plan ***],Mitchell Library No. FM1/1181 1194,Appendix G: Archival estrays in the Mitchell Library including those transferred to the Archives Office,
,Bathurst,Old Factory,1855-56,-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Patrol Station,1859-66,-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Police Barracks,1864-66,-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Police Office,1850,-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Post Office,1864,-,-,4332 [2/634],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Telegraph Station,1859-66,-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Vale Creek Bridge,"1848-49, 1857-58",-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Watch House,"1849-54, 1858-59",-,-,4332 [2/633],-,"Appendix A: Correspondence, c.1837-96",
,Bathurst,Court House. Proposed alterations to Circuit Court ground plan,-,-,-,4335 [Plan 660],Colonial Architect Plan No. PC35/02,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,Court House. Details of proposed building,-,-,-,4335 [Plan 661],Colonial Architect Plan No. PC35/03,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,Court House. Sketch design for decorative painting of dome and walls of Public Hall. Section through Public Hall,1892,-,-,4335 [Plan 679],Colonial Architect Plan No. PC35/021,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,"Court House. Proposed lamp blinds and drainage.  Plan, elevation, section and circuit court windows interior view",1887,-,-,4335 [Plan 680],Colonial Architect Plan No. PC35/022,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,"Court House. Details - elevation of court windows, half elevation and half section of dome",-,-,-,4335 [Plan 683],Colonial Architect Plan No. PC35/025,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,"Court House. Details of door, plan, elevation and section, detail of pier and gates (side elevation and section)",1878,-,-,4335 [Plan 684],Colonial Architect Plan No. PC35/026. Signature of architect (James Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Bathurst,"Court House. Half elevation of portico, details of panelling",-,-,-,4335 [Plan 685],Colonial Architect Plan No. PC35/027,"Appendix B: Architectural Plans, 1848-1967",
